Log start on,2019-05-26 14:47:44
Feature,Accelerometer
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
26/05/2019 14:47:44.579,40,AM1V340 @374730,43643,E903F0FFDBFF,1001,-16,-37,
26/05/2019 14:47:44.636,97,AM1V340 @374730,43649,E903F3FFE3FF,1001,-13,-29,
26/05/2019 14:47:44.674,135,AM1V340 @374730,43656,E903F4FFDEFF,1001,-12,-34,
26/05/2019 14:47:44.729,190,AM1V340 @374730,43662,EA03ECFFE3FF,1002,-20,-29,
26/05/2019 14:47:44.805,266,AM1V340 @374730,43668,EA03EFFFEBFF,1002,-17,-21,
26/05/2019 14:47:44.824,285,AM1V340 @374730,43674,EA03F8FFE2FF,1002,-8,-30,
26/05/2019 14:47:44.879,340,AM1V340 @374730,43681,E903EFFFECFF,1001,-17,-20,
26/05/2019 14:47:44.936,397,AM1V340 @374730,43687,EA03FDFFE6FF,1002,-3,-26,
26/05/2019 14:47:44.974,435,AM1V340 @374730,43693,E903DCFFF8FF,1001,-36,-8,
26/05/2019 14:47:45.030,491,AM1V340 @374730,43699,EA03F4FFE7FF,1002,-12,-25,
26/05/2019 14:47:45.086,547,AM1V340 @374730,43706,E903EDFFECFF,1001,-19,-20,
26/05/2019 14:47:45.124,585,AM1V340 @374730,43712,EA03F3FFE2FF,1002,-13,-30,
26/05/2019 14:47:45.179,640,AM1V340 @374730,43718,E903EEFFEFFF,1001,-18,-17,
26/05/2019 14:47:45.236,697,AM1V340 @374730,43724,EB03E7FFF0FF,1003,-25,-16,
26/05/2019 14:47:45.275,736,AM1V340 @374730,43731,E903F0FFE6FF,1001,-16,-26,
26/05/2019 14:47:45.329,790,AM1V340 @374730,43737,EB03E5FFF1FF,1003,-27,-15,
26/05/2019 14:47:45.386,847,AM1V340 @374730,43743,EA03E8FFE8FF,1002,-24,-24,
26/05/2019 14:47:45.425,886,AM1V340 @374730,43749,EA03EEFFE5FF,1002,-18,-27,
26/05/2019 14:47:45.479,940,AM1V340 @374730,43756,EA03E9FFE9FF,1002,-23,-23,
26/05/2019 14:47:45.535,996,AM1V340 @374730,43762,EA03E4FFE8FF,1002,-28,-24,
26/05/2019 14:47:45.573,1034,AM1V340 @374730,43768,E703F3FFDEFF,999,-13,-34,
26/05/2019 14:47:45.629,1090,AM1V340 @374730,43774,EA03E9FFE3FF,1002,-23,-29,
26/05/2019 14:47:45.685,1146,AM1V340 @374730,43781,EA03DFFFE3FF,1002,-33,-29,
26/05/2019 14:47:45.723,1184,AM1V340 @374730,43787,E803F0FFD7FF,1000,-16,-41,
26/05/2019 14:47:45.779,1240,AM1V340 @374730,43793,EA03F9FFCDFF,1002,-7,-51,
26/05/2019 14:47:45.835,1296,AM1V340 @374730,43799,EA030400F9FF,1002,4,-7,
26/05/2019 14:47:45.911,1372,AM1V340 @374730,43806,E503E8FFD1FF,997,-24,-47,
26/05/2019 14:47:45.931,1392,AM1V340 @374730,43812,EE03FAFF1A00,1006,-6,26,
26/05/2019 14:47:45.986,1447,AM1V340 @374730,43818,EC03FCFF2400,1004,-4,36,
26/05/2019 14:47:46.023,1484,AM1V340 @374730,43824,E903FEFFDBFF,1001,-2,-37,
26/05/2019 14:47:46.079,1540,AM1V340 @374730,43831,E903E0FFF6FF,1001,-32,-10,
26/05/2019 14:47:46.155,1616,AM1V340 @374730,43837,E703E9FFE5FF,999,-23,-27,
26/05/2019 14:47:46.174,1635,AM1V340 @374730,43843,EA030800D8FF,1002,8,-40,
26/05/2019 14:47:46.248,1709,AM1V340 @374730,43849,EA03FAFFEAFF,1002,-6,-22,
26/05/2019 14:47:46.286,1747,AM1V340 @374730,43856,E603F0FFD5FF,998,-16,-43,
26/05/2019 14:47:46.342,1803,AM1V340 @374730,43862,EA034700C7FF,1002,71,-57,
26/05/2019 14:47:46.379,1840,AM1V340 @374730,43868,E5031900C6FF,997,25,-58,
26/05/2019 14:47:46.435,1896,AM1V340 @374730,43874,E9032900C0FF,1001,41,-64,
26/05/2019 14:47:46.474,1935,AM1V340 @374730,43881,E9034000BCFF,1001,64,-68,
26/05/2019 14:47:46.530,1991,AM1V340 @374730,43887,E603FFFFF2FF,998,-1,-14,
26/05/2019 14:47:46.586,2047,AM1V340 @374730,43893,EE0343000300,1006,67,3,
26/05/2019 14:47:46.623,2084,AM1V340 @374730,43899,E503CEFF1D00,997,-50,29,
