Log start on,2019-05-21 23:29:42
Feature,Gyroscope
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/05/2019 23:29:45.787,2840,AM1V340 @374730,111139,E8FFE9FF1F00,-2.4,-2.3,3.1,
21/05/2019 23:29:45.825,2878,AM1V340 @374730,111146,02000D00F5FF,0.2,1.3,-1.1,
21/05/2019 23:29:45.880,2933,AM1V340 @374730,111152,FFFF10000400,-0.1,1.6,0.4,
21/05/2019 23:29:45.937,2990,AM1V340 @374730,111158,0000DBFFFBFF,0.0,-3.7,-0.5,
21/05/2019 23:29:45.975,3028,AM1V340 @374730,111164,FAFF0000F6FF,-0.6,0.0,-1.0,
21/05/2019 23:29:46.031,3084,AM1V340 @374730,111171,E8FF12000400,-2.4,1.8,0.4,
21/05/2019 23:29:46.087,3140,AM1V340 @374730,111177,EBFFFFFF2F00,-2.1,-0.1,4.7,
21/05/2019 23:29:46.125,3178,AM1V340 @374730,111183,D1FF2700F5FF,-4.7,3.9,-1.1,
21/05/2019 23:29:46.180,3233,AM1V340 @374730,111189,F5FFE0FF0A00,-1.1,-3.2,1.0,
21/05/2019 23:29:46.237,3290,AM1V340 @374730,111196,F3FFFEFF0000,-1.3,-0.2,0.0,
21/05/2019 23:29:46.276,3329,AM1V340 @374730,111202,EAFF0B001500,-2.2,1.1,2.1,
21/05/2019 23:29:46.331,3384,AM1V340 @374730,111208,F5FFF0FF0700,-1.1,-1.6,0.7,
21/05/2019 23:29:46.387,3440,AM1V340 @374730,111214,F4FFF8FF0C00,-1.2,-0.8,1.2,
21/05/2019 23:29:46.424,3478,AM1V340 @374730,111221,EBFF02000C00,-2.1,0.2,1.2,
21/05/2019 23:29:46.480,3533,AM1V340 @374730,111227,FAFFF8FF0B00,-0.6,-0.8,1.1,
21/05/2019 23:29:46.536,3589,AM1V340 @374730,111235,0000F7FFF2FF,0.0,-0.9,-1.4,
21/05/2019 23:29:46.592,3645,AM1V340 @374730,111241,EEFF15000000,-1.8,2.1,0.0,
21/05/2019 23:29:46.649,3702,AM1V340 @374730,111247,E4FF02000700,-2.8,0.2,0.7,
21/05/2019 23:29:46.686,3739,AM1V340 @374730,111254,ECFF11000500,-2.0,1.7,0.5,
21/05/2019 23:29:46.742,3795,AM1V340 @374730,111260,D8FF3B00F3FF,-4.0,5.9,-1.3,
21/05/2019 23:29:46.799,3852,AM1V340 @374730,111266,1200D3FFF0FF,1.8,-4.5,-1.6,
21/05/2019 23:29:46.836,3889,AM1V340 @374730,111272,D7FF09001200,-4.1,0.9,1.8,
21/05/2019 23:29:46.893,3946,AM1V340 @374730,111279,F2FF0C000000,-1.4,1.2,0.0,
21/05/2019 23:29:46.949,4002,AM1V340 @374730,111285,F0FFFBFF1900,-1.6,-0.5,2.5,
21/05/2019 23:29:47.005,4058,AM1V340 @374730,111291,EDFF06000A00,-1.9,0.6,1.0,
21/05/2019 23:29:47.043,4096,AM1V340 @374730,111297,F5FFF0FF1900,-1.1,-1.6,2.5,
21/05/2019 23:29:47.099,4151,AM1V340 @374730,111304,F9FFF0FF0900,-0.7,-1.6,0.9,
21/05/2019 23:29:47.136,4189,AM1V340 @374730,111310,F5FF00000200,-1.1,0.0,0.2,
21/05/2019 23:29:47.193,4246,AM1V340 @374730,111316,FCFFFAFF0500,-0.4,-0.6,0.5,
21/05/2019 23:29:47.251,4304,AM1V340 @374730,111322,F0FF0B000600,-1.6,1.1,0.6,
21/05/2019 23:29:47.286,4339,AM1V340 @374730,111329,EBFF1A00F9FF,-2.1,2.6,-0.7,
21/05/2019 23:29:47.343,4396,AM1V340 @374730,111335,EAFF13000900,-2.2,1.9,0.9,
21/05/2019 23:29:47.399,4452,AM1V340 @374730,111341,E9FF02000000,-2.3,0.2,0.0,
21/05/2019 23:29:47.436,4489,AM1V340 @374730,111347,0500FBFF0400,0.5,-0.5,0.4,
21/05/2019 23:29:47.492,4546,AM1V340 @374730,111354,F0FF1800FFFF,-1.6,2.4,-0.1,
21/05/2019 23:29:47.548,4601,AM1V340 @374730,111360,F2FF06000300,-1.4,0.6,0.3,
21/05/2019 23:29:47.586,4639,AM1V340 @374730,111366,E8FF07000C00,-2.4,0.7,1.2,
21/05/2019 23:29:47.643,4695,AM1V340 @374730,111372,F1FF2A000E00,-1.5,4.2,1.4,
21/05/2019 23:29:47.698,4751,AM1V340 @374730,111379,ECFF3500FAFF,-2.0,5.3,-0.6,
21/05/2019 23:29:47.736,4789,AM1V340 @374730,111385,BDFF13002C00,-6.7,1.9,4.4,
21/05/2019 23:29:47.793,4846,AM1V340 @374730,111391,74FB2703CE03,-116.4,80.7,97.4,
21/05/2019 23:29:47.848,4901,AM1V340 @374730,111397,A40D5CFDE610,349.2,-67.6,432.6,
21/05/2019 23:29:47.887,4940,AM1V340 @374730,111404,0200EAE3DE11,0.2,-719.0,457.4,
21/05/2019 23:29:47.942,4995,AM1V340 @374730,111410,880F93E60508,397.6,-650.9,205.3,
21/05/2019 23:29:47.998,5051,AM1V340 @374730,111416,DB0768EAFEFE,201.1,-552.8,-25.8,
21/05/2019 23:29:48.036,5089,AM1V340 @374730,111422,0911D5ED3306,436.1,-465.1,158.7,
21/05/2019 23:29:48.093,5146,AM1V340 @374730,111429,EC1225E9D900,484.4,-585.1,21.7,
21/05/2019 23:29:48.149,5202,AM1V340 @374730,111435,6F0914E5F4F1,241.5,-689.2,-359.6,
21/05/2019 23:29:48.186,5239,AM1V340 @374730,111441,70B8B7DEF5E3,-1832.0,-852.1,-717.9,
21/05/2019 23:29:48.242,5295,AM1V340 @374730,111447,F5E129C0130A,-769.1,-1634.3,257.9,
21/05/2019 23:29:48.299,5352,AM1V340 @374730,111454,8EF86AA69703,-190.6,-2293.4,91.9,
21/05/2019 23:29:48.336,5389,AM1V340 @374730,111460,770BF6CEA6F4,293.5,-1255.4,-290.6,
21/05/2019 23:29:48.393,5446,AM1V340 @374730,111466,52FD44AD12DB,-68.6,-2118.0,-945.4,
21/05/2019 23:29:48.449,5502,AM1V340 @374730,111472,563699F73C06,1391.0,-215.1,159.6,
21/05/2019 23:29:48.486,5539,AM1V340 @374730,111479,E217683B250E,611.4,1520.8,362.1,
21/05/2019 23:29:48.543,5596,AM1V340 @374730,111485,C8CC870053ED,-1311.2,13.5,-478.1,
21/05/2019 23:29:48.599,5652,AM1V340 @374730,111491,AA067208F911,170.6,216.2,460.1,
21/05/2019 23:29:48.636,5689,AM1V340 @374730,111498,020003001800,0.2,0.3,2.4,
21/05/2019 23:29:48.692,5745,AM1V340 @374730,111504,F1FF06000600,-1.5,0.6,0.6,
21/05/2019 23:29:48.748,5801,AM1V340 @374730,111510,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:48.786,5839,AM1V340 @374730,111516,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:48.842,5895,AM1V340 @374730,111522,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:48.898,5951,AM1V340 @374730,111529,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:48.937,5990,AM1V340 @374730,111535,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:48.993,6046,AM1V340 @374730,111541,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:49.049,6102,AM1V340 @374730,111548,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.086,6139,AM1V340 @374730,111554,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:49.143,6195,AM1V340 @374730,111560,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:49.199,6252,AM1V340 @374730,111566,F1FF07000700,-1.5,0.7,0.7,
